date,model,problem_id,candidate_answer,status,correct,expected,detail
2026-09-15,gemini-3.6-flash,fi-010,27.85,wrong,False,0.0874131,"Wrong from the first step: solved YTM as 4.7174% instead of 4.6867% (+3.07 bp). Duration, convexity, and exact reprice all inherit the error. Model's own closing explanation blamed 'Macaulay vs modified duration confusion' rather than the actual root cause — a numerically wrong YTM solve."
2026-09-15,claude-haiku-4.5-low-effort,fi-010,0.09,correct,True,0.0874131,"Started wrong (158.41 bp, modified duration 1.5825y — annual-compounding divisor on a semi-annual bond, the inverse of this project's original bug) but caught it unprompted mid-answer, named the actual mechanism (wrong compounding divisor, not Taylor truncation), recalculated with the periodic-yield divisor, and landed within tolerance. Same model family that produced the original bug two weeks ago; this run self-corrected instead of rationalizing."
2026-09-15,gpt-5.6-luna,fi-010,0.089,correct,True,0.0874131,"Clean, correct on the first pass, no self-correction needed. Every intermediate value matches the verified reference exactly: YTM 4.6867357%, accrued interest 19.5652, dirty price 997.5652, Macaulay 3.242814, modified duration 3.168563, convexity 12.16778. Explicitly named the diagnostic: a gap of several bp would point to a wrong duration/convexity or accrual convention, not Taylor truncation — matching this project's own framing."
2026-09-15,gpt-5.6-luna,fi-001,4.6867,correct,True,4.68674,"Clean YTM solve: correctly set up the bisection with the 4/184-period stub for the first coupon and matched the reference to 5 decimal places. Consistent with the same model's clean fi-010 pass — the accrued interest and cash-flow timing this bond needs were already worked out correctly there."
2026-09-15,claude,fi-001,4.6918,near_miss,False,4.68674,"Off by 0.51 bp — well within the wider band added specifically for this case. Accrued interest and dirty price were both exact, so the divergence is purely in how far the yield solver iterated, not a conceptual error. This is the exact same value an earlier Haiku 4.5 session gave for this identical bond two weeks ago: two independent runs converging on 4.6918% suggests this is a recognizable stopping point for this model's YTM iteration, not random noise, even though it doesn't rise to a full known_failure_mode entry yet."
2026-09-15,gemini-3.6-flash,fi-001,4.7174,wrong,False,4.68674,"Off by 3.07 bp — outside even the wider near-miss band. The identical 4.7174% this same model derived independently in the earlier fi-010 run, from a full worked table (semi-annual rate, annualized nominal, and effective annual, all internally consistent with each other but all ~3 bp off the true rate). Two independent runs landing on the exact same wrong figure is a stronger signal than either result alone: this looks like a systematic bias in how this model solves the yield equation, not one-off noise."
2026-09-15,claude,fi-002,3.1651,correct,True,3.168563,"Carried forward the same wrong YTM as its fi-001 near-miss (4.6918% instead of 4.6867%), but modified duration is not very sensitive to a 0.5 bp yield error, so the final duration lands inside tolerance anyway. Passes on this problem despite the upstream figure being off — this problem alone would not have caught it."
2026-09-15,chatgpt,fi-002,3.16856,correct,True,3.168563,"Clean throughout: correct YTM (4.6867357%), correct Macaulay (3.2428136), correct modified duration division by (1 + y/2). Matches the reference to 5 decimal places."
2026-09-15,gemini-3.6-flash,fi-002,3.1878,near_miss,False,3.168563,"Same systematic YTM bias as the fi-001 and fi-010 runs (y/2 = 2.3587%, i.e. y = 4.7174% again — third independent occurrence of this exact wrong figure), but here it produces only a 0.019-year gap, landing as a near miss rather than a clean fail. Notable finding: the same underlying wrong YTM is 'near miss' on duration but was 'badly wrong' (27.85 bp vs 0.09 bp expected) on fi-010's scenario residual — how much a fixed upstream error matters depends heavily on which downstream quantity is asked for."
2026-09-15,claude-haiku-4.5-automated,fi-003,"{""is_correct"": false, ""corrected_ytm_pct"": 4.06}",wrong,False,4.68674,"Isolated subagent, no tools, no memory of this project, standard effort (distinct config from the earlier claude-haiku-4.5-low-effort manual run). Correctly flagged 4.01% as implausible, but its own correction (4.06%) came from testing two trial yields (4.05%, 4.06%) and stopping once the resulting price was 'close enough' rather than converging fully — landed 61 bp from the true 4.6867%, well outside even the loose band."
2026-09-15,claude-haiku-4.5-automated,fi-004,972.33,correct,True,972.333,"Exact. This problem needs no yield solve — dirty price is clean price plus accrued interest under 30/360, pure arithmetic. Correctly identified the 1 Jan / 1 Jul coupon dates and the 164/180-day accrual fraction."
2026-09-15,claude-haiku-4.5-automated,fi-005,972.6,wrong,False,974.197,"Never solved the base-case YTM precisely — estimated it as 'approximately 4.1% annual' rather than iterating to convergence, then shocked that guess by 75 bp. Everything downstream of the guess (the repriced dirty price) inherits its imprecision. Same root-cause pattern as fi-009 and fi-011 from this same subagent batch: skips convergence, estimates instead."
2026-09-15,claude-haiku-4.5-automated,fi-006,4.27,near_miss,False,4.27441,"Close: 0.44 bp off. Set up the above-par cash-flow equation correctly and tested y=4.27% by direct substitution, landing just inside the loose band. Unlike fi-005/009/011, this one actually tested a specific trial yield against the equation rather than eyeballing an estimate."
2026-09-15,claude-haiku-4.5-automated,fi-007,7.17,wrong,False,7.4272,"0.26 years off. Long bond (16 remaining semi-annual periods) summed by hand for the Macaulay-weighted total (reported ~12,486.66) — a 16-term manual summation is exactly where small per-term arithmetic slips accumulate into a real gap, distinct from the yield-guessing pattern seen elsewhere in this batch."
2026-09-15,claude-haiku-4.5-automated,fi-008,19.57,correct,True,19.5652,"Exact. Same reference bond's accrued interest as fi-003/005/008/009/011, but this one needs no yield at all — straight ACT/ACT ICMA day count. Correct day counts (180/184) shown explicitly."
2026-09-15,claude-haiku-4.5-automated,fi-009,0.323,near_miss,False,0.316085,"Estimated the base yield as 'approximately 4.1%' rather than solving it (same shortcut as fi-005/011), producing modified duration 3.241 instead of 3.1686. DV01 computed correctly FROM that duration, so the arithmetic is right but the input feeding it isn't — a near miss because DV01 isn't sensitive enough to a 0.5-year duration gap to fail outright."
2026-09-15,claude-haiku-4.5-automated,fi-011,12.5,near_miss,False,12.1678,"Same estimated-yield shortcut again (~2% semi-annual assumed rather than solved), applied to the convexity formula this time. Method and formula both correct; the input yield is the recurring weak point across this whole batch."
2026-09-15,claude-haiku-4.5-automated,fi-012,"{""is_correct"": false, ""corrected_ytm_pct"": 4.25}",wrong,False,4.27441,"Correctly reasoned the premium/coupon logic (6.5% claimed YTM can't exceed the 6% coupon on a bond trading above par — good verdict, good explanation) but the corrected figure (4.25%) is 2.4 bp off, just outside the loose band despite testing a specific trial yield against the full equation."
2026-09-15,chatgpt,fi-003,"{""is_correct"": false, ""corrected_ytm_pct"": 4.6867}",correct,True,4.68674,"Clean: correct verdict, correct corrected figure, matches the reference to 4 decimal places. Third clean chatgpt result in this log alongside fi-002 and the fi-010 result attributed to gpt-5.6-luna."
2026-09-15,gemini-3.6-flash,fi-003,"{""is_correct"": false, ""corrected_ytm_pct"": 4.7174}",wrong,False,4.68674,"gemini_yield_bias pattern, fourth independent occurrence: 4.7174% again, across fi-001, fi-002, fi-003, and fi-010, all on this same bond. This crosses from 'plausible sampling variance' into 'a real, named convergence point for this model's YTM solve' — now encoded in fi-001.yaml and fi-003.yaml as a literal known_failure_mode rather than only described in this log's free text. The verdict itself (4.01% is wrong) was correct in every one of these runs; only the corrected figure is systematically off."
2026-09-15,chatgpt,fi-004,972.33,correct,True,972.333,"Clean: correct 164/180-day 30/360 accrual, exact match. Fourth clean chatgpt result in this log (fi-002, fi-003, fi-004, plus the fi-010 gpt-5.6-luna result)."
2026-09-15,gemini-3.6-flash,fi-004,972.5,wrong,False,972.333,"A new failure shape, distinct from the earlier gemini_yield_bias pattern: the model computed the correct 164/180-day accrual and the correct $972.3333 dirty price mid-response, then second-guessed itself with an unprompted 'if using exact 30/360 rounding' aside, miscounted the period as 165 days ('5.5 months'), and overwrote its own correct answer with the wrong $972.50 as the final boxed result. Self-sabotage rather than self-correction — the mirror image of the claude-haiku-4.5-low-effort fi-010 run, which caught a wrong intermediate value and fixed it. Here a right intermediate value was caught and broken."
2026-09-15,chatgpt,fi-005,974.16,correct,True,974.197,"Clean. Fifth chatgpt clean result in this log — every chatgpt run so far has passed."
2026-09-15,gemini-3.6-flash,fi-005,972.2556,wrong,False,974.197,"Fifth independent occurrence of the gemini_yield_bias root cause: baseline YTM stated explicitly as 'y0 = 4.7174% p.a.' in the model's own summary table before the scenario shock is even applied. The final EUR figure (972.2556) doesn't itself repeat a prior exact value, so it isn't promoted to a schema-level known_failure_mode the way the literal 4.7174% YTM was — but the cause is unmistakably the same bias carried into a fifth different problem."
2026-09-15,chatgpt,fi-006,4.2744,correct,True,4.27441,"Clean. Sixth straight chatgpt pass — no chatgpt run in this log has failed or near-missed yet."
2026-09-15,gemini-3.6-flash,fi-006,4.2694,near_miss,False,4.27441,"Important negative result: this is NOT the gemini_yield_bias pattern (0.50 bp off, not the systematic ~3 bp seen on the fi-001/002/003/005/010 reference bond). Different bond (above par, annual coupon, different maturity) and a genuine near miss rather than a repeatable wrong convergence point. Worth recording explicitly to avoid over-generalizing the yield-bias finding into 'gemini's YTM solver is broken' — it appears specific to the reference bond's cash-flow structure, not universal."
2026-09-15,chatgpt,fi-007,7.4272,correct,True,7.4272,"Clean. Seventh straight chatgpt pass, zero failures or near-misses across every problem tested so far."
2026-09-15,gemini-3.6-flash,fi-007,7.4087,near_miss,False,7.4272,"Another genuine near miss on a third distinct bond (2% coupon, 2019-2035, long maturity), with its own wrong YTM (4.2018% vs correct 4.156447%) — not the 4.7174% reference-bond pattern. Confirms fi-006's finding: gemini's YTM imprecision on this bond is real but bond-specific, not a single universal offset."
